"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"CSGS","CSG Systems International, Inc.","43.7","$1.44B","1996","Technology","EDP Services","https://old.nasdaq.com/symbol/csgs",
"CCLP","CSI Compressco LP","0.6534","$30.89M","2011","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/cclp",
"CSPI","CSP Inc.","7.68","$32.55M","1982","Technology","EDP Services","https://old.nasdaq.com/symbol/cspi",
"CSWI","CSW Industrials, Inc.","64.22","$971.39M","n/a","Basic Industries","Home Furnishings","https://old.nasdaq.com/symbol/cswi",
"CSX","CSX Corporation","61.15","$47.13B","n/a","Transportation","Railroads","https://old.nasdaq.com/symbol/csx",
"CTIC","CTI BioPharma Corp.","0.95","$70.23M","1997","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/ctic",
"CUE","Cue Biopharma, Inc.","15.07","$400.5M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/cue",
"CUI","CUI Global, Inc.","0.6965","$19.8M","n/a","Technology","Electronic Components","https://old.nasdaq.com/symbol/cui",
"CPIX","Cumberland Pharmaceuticals Inc.","3.56","$54.05M","2009","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/cpix",
"CMLS","Cumulus Media Inc.","4.16","$74.14M","n/a","Consumer Services","Broadcasting","https://old.nasdaq.com/symbol/cmls",
"CRIS","Curis, Inc.","0.6386","$23.36M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/cris",
"CUTR","Cutera, Inc.","12.06","$173.86M","2004","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/cutr",
"CVBF","CVB Financial Corporation","19.09","$2.67B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/cvbf",
"CVV","CVD Equipment Corporation","2.61","$17.31M","n/a","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/cvv",
"CYAN","Cyanotech Corporation","2.17","$12.87M","n/a","Consumer Durables","Specialty Chemicals","https://old.nasdaq.com/symbol/cyan",
"CYBR","CyberArk Software Ltd.","83.28","$3.17B","2014","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/cybr",
"CYBE","CyberOptics Corporation","17.69","$126.74M","1987","Capital Goods","Electronic Components","https://old.nasdaq.com/symbol/cybe",
"CYCC","Cyclacel Pharmaceuticals, Inc.","0.3752","$6.45M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/cycc",
"CYCCP","Cyclacel Pharmaceuticals, Inc.","5.9","$1.98M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/cyccp",
"CYCN","Cyclerion Therapeutics, Inc.","2.58","$71.61M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/cycn",
"CBAY","CymaBay Therapeutics Inc.","1.48","$101.95M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/cbay",
"CY","Cypress Semiconductor Corporation","23.81","$8.9B","1986","Technology","Semiconductors","https://old.nasdaq.com/symbol/cy",
"CYRN","CYREN Ltd.","0.8498","$50.94M","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/cyrn",
"CONE","CyrusOne Inc","61.67","$7.09B","2013","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/cone",
"CYTK","Cytokinetics, Incorporated","12.15","$722.43M","2004","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/cytk",
"CTMX","CytomX Therapeutics, Inc.","7.76","$353.6M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/ctmx",
"CTSO","Cytosorbents Corporation","6.48","$227.13M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/ctso",
"DJCO","Daily Journal Corp. (S.C.)","236.25","$326.2M","n/a","Consumer Services","Newspapers/Magazines","https://old.nasdaq.com/symbol/djco",
"DAKT","Daktronics, Inc.","4.16","$187.52M","1994","Consumer Durables","Miscellaneous manufacturing industries","https://old.nasdaq.com/symbol/dakt",
"DARE","Dare Bioscience, Inc.","0.8496","$20.99M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/dare",
"DRIO","DarioHealth Corp.","6.2148","$19.27M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/drio",
"DRIOW","DarioHealth Corp.","0.029","n/a","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/driow",
"DZSI","DASAN Zhone Solutions, Inc.","4.31","$92.72M","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/dzsi",
"DSKE","Daseke, Inc.","1.1","$71.06M","2015","Consumer Services","Transportation Services","https://old.nasdaq.com/symbol/dske",
"DSKEW","Daseke, Inc.","0.07","n/a","2015","Consumer Services","Transportation Services","https://old.nasdaq.com/symbol/dskew",
"DAIO","Data I/O Corporation","2.9","$23.84M","1981","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/daio",
"DDOG","Datadog, Inc.","35.9","$10.66B","2019","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ddog",
"DTSS","Datasea Inc.","2.44","$51.1M","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/dtss",
